TDID,Run,TestCaseID,DefectID,APPLICATIONNAME,PAGETITLE,MENU,SUBMENU,EXTERNALAPPLICATIONMENU,EXTERNALAPPLICATIONSUBMENU,STORENUMBER
85,YES,Store Search in ACLens Patient Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Other,ACLens Patient Search,5101
86,YES,Store Search in Doctor Coverage,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Other,Doctor Coverage,5101
87,YES,Store Search in UltiPro - SDS Lookup,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Employees,UltiPro - SDS Lookup,5101
88,YES,Store Search in Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Employees,Search,5101
89,YES,Store Search in Fees,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,DREX,Fees,5101
90,YES,Store Search in Incidents,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Property,Incidents,5101
91,YES,Store Search in Telephone Inventory,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Property,Telephone Inventory,5101
92,YES,Store Search in Monthly Entry,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Military,Monthly Entry,5101
93,YES,Store Search in Daily Entry,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Military,Daily Entry,5101
94,YES,Store Search in 1099 Doctor Entry,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,1099 Doctor Entry,5101
95,YES,Store Search in PCI Audit History,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,PCI Audit History,5101
96,YES,Store Search in Planograms,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,Planograms,5101
97,YES,Store Search in Frame_Tag Requests,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,Frame/Tag Requests,5101
